StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,1,2,self_cheat,4,5,6,7,8,9,self_timer_First Click,self_timer_Last Click,self_timer_Page Submit,self_timer_Click Count,1b,2b,other_cheat,4b,5b,6b,7b,8b,9b,timing_First Click,timing_Last Click,timing_Page Submit,timing_Click Count,age,gender,gender_3_TEXT,race,race_5_TEXT,open,issues,exclude2,MID,MID,Condition
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,1. U N H T E D,2. E O S H U,3. U N A A G T,4. Y T H O I R D,5. O L A R C,6. J N I P M U G,7. H G I T W E,8. C L A L S O U,9. Y O M S E E V L D,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,1. U N H T E D,2. E O S H U,3. U N A A G T,4. Y T H O I R D,5. O L A R C,6. J N I P M U G,7. H G I T W E,8. C L A L S O U,9. Y O M S E E V L D,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"What is your age? (Answer in numbers, not words).",What is your gender? - Selected Choice,What is your gender? - Other (please specify) - Text,Please select your race/ethnicity. - Selected Choice,Please select your race/ethnicity. - Other race/ethnicity (Please state below) - Text,Did you notice anything odd or unusual as you completed the task?,"Did you run into any issues during the study? If yes, please explain in the space below.",Have you done this task in any previous experiments?,Please enter your MTurk ID in the space below so we can ensure proper payment.,MID,Condition
"{""ImportId"":""startDate""}","{""ImportId"":""endDate""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""QID10""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID8_FIRST_CLICK""}","{""ImportId"":""QID8_LAST_CLICK""}","{""ImportId"":""QID8_PAGE_SUBMIT""}","{""ImportId"":""QID8_CLICK_COUNT""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40_FIRST_CLICK""}","{""ImportId"":""QID40_LAST_CLICK""}","{""ImportId"":""QID40_PAGE_SUBMIT""}","{""ImportId"":""QID40_CLICK_COUNT""}","{""ImportId"":""QID44_TEXT""}","{""ImportId"":""QID45""}","{""ImportId"":""QID45_3_TEXT""}","{""ImportId"":""QID47""}","{""ImportId"":""QID47_5_TEXT""}","{""ImportId"":""QID41_TEXT""}","{""ImportId"":""QID50_TEXT""}","{""ImportId"":""QID42""}","{""ImportId"":""QID49_TEXT""}","{""ImportId"":""MID""}","{""ImportId"":""Condition""}"
3/20/17 18:20,3/20/17 18:21,0,47.152.251.26,100,93,1,3/20/17 18:21,R_3e4yBvWH1qpSgKb,,,,,34.10440063,-117.0485992,anonymous,,,,,,,,,,,,,,2,1,1,2,1,2,1,2,1,2.56,21.448,23.508,12,25,2,,1,,,,2,A2DPKKEEW2I6QK,,other
3/20/17 18:20,3/20/17 18:22,0,72.185.235.232,100,111,1,3/20/17 18:22,R_3VGC6SXFJmLr0Ot,,,,,27.75309753,-82.72239685,anonymous,,,,,,,,,,,,,,1,2,2,1,1,1,1,1,1,1.669,8.213,80.023,11,29,1,,1,,ty,na,2,ADT6AD3LK64AH,,other
3/20/17 18:20,3/20/17 18:22,0,216.125.160.51,100,104,1,3/20/17 18:22,R_3iOtsoONLO6mz5Q,,,,,42.01820374,-88.21730042,anonymous,2,2,2,2,2,2,2,2,2,3.649,30.979,33.45,16,,,,,,,,,,,,,,30,1,,4,,no,no,2,AEWGY34WUIA32,,self
3/20/17 18:20,3/20/17 18:22,0,108.246.12.128,100,161,1,3/20/17 18:22,R_uqvAHrD4GyMOrhn,,,,,38.74679565,-120.6811981,anonymous,2,2,1,2,1,1,1,1,1,3.18,70.569,71.918,14,,,,,,,,,,,,,,34,1,,1,,Some words seemed impossible to unscrambled.,no,2,A356795ET25HER,,self
3/20/17 18:20,3/20/17 18:23,0,73.43.39.221,100,147,1,3/20/17 18:23,R_3IPHfgVsUQ6n86j,,,,,33.77189636,-84.37709808,anonymous,,,,,,,,,,,,,,2,2,1,2,1,2,2,2,1,14.247,97.001,97.917,10,29,1,,1,,You added a word that can't be solved. ,No,1,A32QJF67JMJFKX,,other
3/20/17 18:20,3/20/17 18:24,0,98.221.150.136,100,217,1,3/20/17 18:24,R_31aRkEp6fxHkw9v,,,,,40.49809265,-74.52449799,anonymous,2,2,1,2,2,2,2,2,1,2.855,133.051,134.655,20,,,,,,,,,,,,,,28,1,,1,,I think the last word was silly. ,,3,A15FXHC1CVNW31,,self
3/20/17 18:23,3/20/17 18:24,0,73.19.130.68,100,73,1,3/20/17 18:24,R_u84lhiaEx35AEQ9,,,,,31.15029907,-85.41139984,anonymous,,,,,,,,,,,,,,1,1,1,2,1,1,1,1,1,40.473,40.473,43.625,1,25,1,,1,,,,2,A7KLTVEIASF4J,,other
3/20/17 18:20,3/20/17 18:24,0,184.56.171.151,100,257,1,3/20/17 18:24,R_301AHNyWIj7T0oH,,,,,41.48170471,-81.69339752,anonymous,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,1,16.353,153.123,154.461,23,25,2,,1,,"The last one ""Y O M S E E V L D"" didn't seem to have any solution. ","n/a, no technical difficulties. ",2,A3R457FAWQXZN3,,other
3/20/17 18:20,3/20/17 18:25,0,74.215.69.77,100,296,1,3/20/17 18:25,R_3r0dQYB9M7hhwlO,,,,,39.206604,-84.39640045,anonymous,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,1,10.3,197.451,198.673,10,65,2,,1,,didn't notice anything,no issues,2,A3CVX7GHF3B65Q,,other
3/20/17 18:20,3/20/17 18:26,0,96.237.21.107,100,346,1,3/20/17 18:26,R_1f9ldnrSAuDg0jL,,,,,42.63389587,-71.29570007,anonymous,2,2,1,2,1,1,1,1,1,10.474,219.501,221.231,14,,,,,,,,,,,,,,21,2,,1,,Some of the letter combinations were difficult to figure out.,"I could not figure out what certain letter combinations spelled.
",2,ACK1HEO9MGFQL,,self
3/20/17 18:20,3/20/17 18:26,0,170.146.220.71,100,367,1,3/20/17 18:26,R_1qffCAUAq3xlZd4,,,,,33.74899292,-84.38800049,anonymous,,,,,,,,,,,,,,2,2,1,2,2,2,2,2,1,6.732,303.114,304.646,12,52,2,,1,,2 COULD NOT BE SOLVED,NO,2,A32LNVRHDOWZNU,,other
3/20/17 18:20,3/20/17 18:27,0,75.132.108.44,100,421,1,3/20/17 18:27,R_2eaSuC20wA6EIsP,,,,,38.60189819,-89.9138031,anonymous,2,2,2,2,2,2,2,2,2,6.253,13.453,371.771,9,,,,,,,,,,,,,,37,1,,1,,,,1,A38TZK07ON180S,,self
3/20/17 18:20,3/20/17 18:27,0,172.113.160.244,100,429,1,3/20/17 18:27,R_2BerkdJyDgQsobp,,,,,33.66029358,-117.9991989,anonymous,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,1,51.053,326.172,326.959,16,27,1,,1,,Felt like the last letters cannot make a word.,no,1,A3KEC9CE406TM0,,other
3/20/17 18:20,3/20/17 18:27,0,104.35.186.53,100,440,1,3/20/17 18:27,R_22MrinNz1UPz4Pq,,,,,34.15390015,-117.9918976,anonymous,2,2,2,2,2,2,2,2,1,10.204,326.066,352.928,19,,,,,,,,,,,,,,53,2,,1,,no,,3,A19L8SNH73AX1Z,,self
3/20/17 18:20,3/20/17 18:28,0,172.90.51.65,100,483,1,3/20/17 18:28,R_1GTtsqVOD40NXsp,,,,,33.81610107,-117.9794006,anonymous,2,2,2,2,1,2,2,2,1,14.205,210.023,210.59,38,,,,,,,,,,,,,,22,1,,1,,Not particularly,Nope,2,AADDOP3FHMAV1,,self
3/20/17 18:24,3/20/17 18:28,0,69.47.241.212,100,221,1,3/20/17 18:28,R_306Jk2szlkvUjMx,,,,,41.6934967,-87.61450195,anonymous,,,,,,,,,,,,,,2,2,1,2,2,2,2,2,1,3.616,144.192,170.618,21,32,1,,2,,no,no,2,A14WLAP6TCEKO0,,other
3/20/17 18:20,3/20/17 18:28,0,104.244.222.78,100,496,1,3/20/17 18:28,R_2at7SKw0EdlfmjF,,,,,47.57159424,-122.3327026,anonymous,2,2,2,2,2,2,2,2,1,45.475,366.956,389.136,19,,,,,,,,,,,,,,23,2,,4,,I wasn't able to input my answers. ,no,2,A35F9DZWLLHFY4,,self
3/20/17 18:29,3/20/17 18:31,0,68.42.113.217,100,105,1,3/20/17 18:31,R_3R9NskaWH1Q9Xuo,,,,,42.272995,-83.59940338,anonymous,2,2,1,1,1,1,1,1,1,1.228,45.164,46.278,15,,,,,,,,,,,,,,30,1,,1,,3rd one was unsolvable?,no,2,A1GV0UZU0T2ORS,,self
3/20/17 18:20,3/20/17 18:33,0,50.38.109.119,100,774,1,3/20/17 18:33,R_1ePpywtRmT9FZgE,,,,,45.478302,-123.2073975,anonymous,2,2,2,2,2,2,2,2,2,35.395,358.905,519.81,9,,,,,,,,,,,,,,37,1,,1,,,,3,A33AZCOKCCTUXV,,self
3/20/17 18:30,3/20/17 18:33,0,69.130.122.37,100,172,1,3/20/17 18:33,R_sbfuU9pk2Y0zeG5,,,,,37.81159973,-113.2240982,anonymous,2,2,2,2,2,2,2,2,2,7.041,82.006,83.047,14,,,,,,,,,,,,,,25,1,,1,,no,no,1,A10O5YR01H865K,,self
3/20/17 18:31,3/20/17 18:33,0,73.52.223.136,100,158,1,3/20/17 18:33,R_31BoG2SkGfC3MPf,,,,,40.12049866,-80.75779724,anonymous,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2.741,68.627,70.157,16,34,2,,1,,no,no,2,A87D3K9YVKTQ7,,other
3/20/17 18:24,3/20/17 18:34,0,66.86.125.239,100,601,1,3/20/17 18:34,R_qL9R6LwYhG7UZQl,,,,,36.11000061,-115.2117996,anonymous,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2.864,79.81,499.405,26,26,1,,1,,Nope.,Nope.,2,A1UGD2VEVSML1U,,other
3/20/17 18:27,3/20/17 18:34,0,104.174.223.0,100,446,1,3/20/17 18:34,R_12fDnlFzRaGQf4r,,,,,34.07899475,-117.8493958,anonymous,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,4.089,10.457,327.858,11,27,1,,4,,None,None,2,A1A3TGZ7DKJWRW,,other
3/20/17 18:31,3/20/17 18:34,0,107.219.126.149,100,203,1,3/20/17 18:34,R_2akIC7w0Wtfh5UB,,,,,41.60450745,-87.99559784,anonymous,,,,,,,,,,,,,,2,2,1,2,1,2,1,1,1,14.273,136.195,137.285,9,40,1,,1,,,,3,A2YGAEODJ5SSF6,,other
3/20/17 18:34,3/20/17 18:37,0,69.251.178.236,100,194,1,3/20/17 18:37,R_1CIn6HZkxg2tQEO,,,,,39.0059967,-77.10250092,anonymous,2,2,1,1,1,1,1,1,1,22.108,102.565,104.416,9,,,,,,,,,,,,,,29,1,,1,,no,no,2,AK3H5QRAROFGP,,self
3/20/17 18:36,3/20/17 18:38,0,75.143.87.183,100,134,1,3/20/17 18:38,R_27xwymrMGCHRclc,,,,,32.53289795,-85.50779724,anonymous,,,,,,,,,,,,,,2,1,1,2,1,1,1,2,1,6.986,57.424,58.887,12,25,1,,1,,no,n/a,2,A3LARK2XWBY8BI,,other
3/20/17 18:40,3/20/17 18:43,0,49.146.227.120,100,146,1,3/20/17 18:43,R_3oHe0MhoeyNLHxI,,,,,14.59550476,120.9721069,anonymous,2,1,1,2,1,2,1,1,1,7.892,46.157,47.491,9,,,,,,,,,,,,,,29,1,,1,,none,none,2,A3KCZB9IL6CVH,,self
3/20/17 18:47,3/20/17 18:49,0,70.174.50.149,100,97,1,3/20/17 18:49,R_3PLDWSiIPZLBFZq,,,,,36.82670593,-76.01789856,anonymous,,,,,,,,,,,,,,2,2,1,2,2,2,1,1,1,4.7,53.204,57.315,9,27,1,,1,,Not that I observed.,,2,A3VVR8NR3ED04C,,other
3/20/17 18:48,3/20/17 18:52,0,68.100.174.128,100,207,1,3/20/17 18:52,R_2mnB632CqT2TjkB,,,,,38.82090759,-77.28910065,anonymous,2,2,2,2,2,2,2,2,2,0.605,156.948,157.606,4,,,,,,,,,,,,,,25,1,,4,,no,no,2,A4J4GGMKJ68L0,,self
3/20/17 18:54,3/20/17 18:56,0,96.32.30.254,100,139,1,3/20/17 18:56,R_2QXqjVjy4J95hFf,,,,,41.97669983,-71.86109924,anonymous,1,1,1,1,1,1,1,1,1,4.373,10.952,100.92,10,,,,,,,,,,,,,,27,2,,1,,,,2,AUK4KGOJP9F0H,,self
3/20/17 19:04,3/20/17 19:08,0,162.216.46.13,100,246,1,3/20/17 19:08,R_2wSsBUpZ0iiEHtu,,,,,33.03619385,-96.67120361,anonymous,,,,,,,,,,,,,,2,2,2,2,2,2,2,1,1,6.608,58.589,60.54,10,58,2,,4,,no,no,3,A25D66AC4QUW2U,,other
3/20/17 19:13,3/20/17 19:16,0,73.239.35.38,100,193,1,3/20/17 19:16,R_3dXGkml5gO0isBc,,,,,47.78770447,-117.4555054,anonymous,2,2,1,2,2,2,2,1,1,12.035,135.309,136.121,16,,,,,,,,,,,,,,27,1,,1,,,,2,A37EV8RZ82WT8E,,self
3/20/17 19:16,3/20/17 19:19,0,64.134.178.20,100,213,1,3/20/17 19:19,R_8c873VPo77qYPbX,,,,,37.75100708,-97.8219986,anonymous,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,1,6.294,119.356,120.46,20,43,1,,1,,no,,2,A3P5WIW36V70AI,,other
3/20/17 19:34,3/20/17 19:46,0,24.233.115.18,100,727,1,3/20/17 19:46,R_TiPncvtp3Ta76H7,,,,,43.40420532,-70.74549866,anonymous,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,1,14.795,543.356,545.011,10,36,2,,1,,no,no,3,A5B6HXICKBU3Q,,other
3/20/17 19:57,3/20/17 19:58,0,173.144.79.211,100,76,1,3/20/17 19:58,R_3IQvPyXUUU7yoM4,,,,,37.55769348,-77.37689972,anonymous,2,2,2,2,2,2,2,2,2,3.282,17.404,18.13,17,,,,,,,,,,,,,,24,2,,2,,,,2,AWXIEV9H6KT9E,,self
3/20/17 19:47,3/20/17 19:59,0,173.225.146.199,100,720,1,3/20/17 19:59,R_2rl1UMAGltrcMv9,,,,,45.75010681,-94.14009857,anonymous,,,,,,,,,,,,,,2,2,2,2,2,2,2,1,1,23.901,551.456,552.21,33,60,1,,1,,No,,1,A3LT7W355XOAKF,,other
